CODGEO,LIBGEO,APL_MEDECINS,Pop_standardisee,CLASSE_ACCESSIBILITE
01437,Vescours,2.344,214.9,Faible
01439,Vésines,2.667,98.235,Moyenne
01441,Vieu-d'Izenave,1.307,698.004,Très faible
01443,Villars-les-Dombes,2.947,5087.296,Moyenne
01444,Villebois,2.256,1166.94,Faible
01445,Villemotier,3.012,593.174,Moyenne
01446,Villeneuve,3.23,1467.656,Élevée
01447,Villereversure,2.738,1410.997,Moyenne
01448,Villes,1.476,387.14,Très faible
01449,Villette-sur-Ain,3.256,743.003,Élevée
01450,Villieu-Loyes-Mollon,2.574,3641.241,Faible
01451,Viriat,4.324,6739.273,Très élevée
01452,Virieu-le-Grand,3.566,1109.556,Élevée
01453,Arvière-en-Valromey,2.024,743.167,Faible
01454,Virignin,3.499,1056.64,Élevée
01456,Vongnes,3.819,81.128,Élevée
01457,Vonnas,1.681,3269.781,Très faible
02001,Abbécourt,2.893,485.277,Moyenne
02002,Achery,2.84,578.446,Moyenne
02003,Acy,2.13,1006.802,Faible
02004,Agnicourt-et-Séchelles,3.497,188.543,Élevée
02005,Aguilcourt,2.903,380.529,Moyenne
02006,Aisonville-et-Bernoville,4.471,263.606,Très élevée
02007,Aizelles,3.624,121.171,Élevée
02008,Aizy-Jouy,2.262,282.281,Faible
02009,Alaincourt,2.789,515.477,Moyenne
02010,Allemant,2.98,164.645,Moyenne
02011,Ambleny,2.538,1178.983,Faible
02012,Ambrief,2.958,73.482,Moyenne
02013,Amifontaine,3.413,376.69,Élevée
02014,Amigny-Rouy,2.763,695.873,Moyenne
02015,Ancienville,1.873,76.932,Très faible
02016,Andelain,2.7,201.925,Moyenne
02017,Anguilcourt-le-Sart,2.618,272.63,Moyenne
02018,Anizy-le-Grand,2.221,2569.773,Faible
02019,Annois,2.274,366.162,Faible
02020,Any-Martin-Rieux,5.249,464.552,Très élevée
02021,Archon,4.13,83.534,Très élevée
02022,Arcy-Sainte-Restitue,2.501,392.27,Faible
02023,Armentières-sur-Ourcq,2.573,98.757,Faible
02024,Arrancy,2.193,50.215,Faible
02025,Artemps,1.194,348.857,Très faible
02027,Assis-sur-Serre,2.275,213.111,Faible
02028,Athies-sous-Laon,2.14,2585.028,Faible
02029,Attilly,2.367,351.477,Faible
02030,Aubencheul-aux-Bois,3.313,265.058,Élevée
02031,Aubenton,4.636,674.17,Très élevée
02032,Aubigny-aux-Kaisnes,2.037,238.461,Faible
02033,Aubigny-en-Laonnois,3.357,98.434,Élevée
02034,Audignicourt,0.522,110.539,Très faible
02035,Audigny,3.859,260.894,Élevée
02036,Augy,3.067,75.228,Moyenne
02037,Aulnois-sous-Laon,3.396,1325.367,Élevée
02038,Les Autels,1.949,69.983,Faible
02039,Autremencourt,2.6,159.402,Moyenne
02040,Autreppes,1.754,172.393,Très faible
02041,Autreville,2.489,835.022,Faible
02042,Azy-sur-Marne,2.954,387.88,Moyenne
